,Unnamed: 0,path
0,,Train/Mask/seismic_x_0.png
1,,Train/Mask/seismic_x_1.png
2,,Train/Mask/seismic_x_2.png
3,,Train/Mask/seismic_x_3.png
4,,Train/Mask/seismic_x_4.png
5,,Train/Mask/seismic_x_5.png
6,,Train/Mask/seismic_x_6.png
7,,Train/Mask/seismic_x_7.png
8,,Train/Mask/seismic_x_8.png
9,,Train/Mask/seismic_x_9.png
10,,Train/Mask/seismic_x_10.png
11,,Train/Mask/seismic_x_11.png
12,,Train/Mask/seismic_x_12.png
13,,Train/Mask/seismic_x_13.png
14,,Train/Mask/seismic_x_14.png
15,,Train/Mask/seismic_x_15.png
16,,Train/Mask/seismic_x_16.png
17,,Train/Mask/seismic_x_17.png
18,,Train/Mask/seismic_x_18.png
19,,Train/Mask/seismic_x_19.png
20,,Train/Mask/seismic_x_20.png
21,,Train/Mask/seismic_x_21.png
22,,Train/Mask/seismic_x_22.png
23,,Train/Mask/seismic_x_23.png
24,,Train/Mask/seismic_x_24.png
25,,Train/Mask/seismic_x_25.png
26,,Train/Mask/seismic_x_26.png
27,,Train/Mask/seismic_x_27.png
28,,Train/Mask/seismic_x_28.png
29,,Train/Mask/seismic_x_29.png
30,,Train/Mask/seismic_x_30.png
31,,Train/Mask/seismic_x_31.png
32,,Train/Mask/seismic_x_32.png
33,,Train/Mask/seismic_x_33.png
34,,Train/Mask/seismic_x_34.png
35,,Train/Mask/seismic_x_35.png
36,,Train/Mask/seismic_x_36.png
37,,Train/Mask/seismic_x_37.png
38,,Train/Mask/seismic_x_38.png
39,,Train/Mask/seismic_x_39.png
40,,Train/Mask/seismic_x_40.png
41,,Train/Mask/seismic_x_41.png
42,,Train/Mask/seismic_x_42.png
43,,Train/Mask/seismic_x_43.png
44,,Train/Mask/seismic_x_44.png
45,,Train/Mask/seismic_x_45.png
46,,Train/Mask/seismic_x_46.png
47,,Train/Mask/seismic_x_47.png
48,,Train/Mask/seismic_x_48.png
49,,Train/Mask/seismic_x_49.png
50,,Train/Mask/seismic_x_50.png
51,,Train/Mask/seismic_x_51.png
52,,Train/Mask/seismic_x_52.png
53,,Train/Mask/seismic_x_53.png
54,,Train/Mask/seismic_x_54.png
55,,Train/Mask/seismic_x_55.png
56,,Train/Mask/seismic_x_56.png
57,,Train/Mask/seismic_x_57.png
58,,Train/Mask/seismic_x_58.png
59,,Train/Mask/seismic_x_59.png
60,,Train/Mask/seismic_x_60.png
61,,Train/Mask/seismic_x_61.png
62,,Train/Mask/seismic_x_62.png
63,,Train/Mask/seismic_x_63.png
64,,Train/Mask/seismic_x_64.png
65,,Train/Mask/seismic_x_65.png
66,,Train/Mask/seismic_x_66.png
67,,Train/Mask/seismic_x_67.png
68,,Train/Mask/seismic_x_68.png
69,,Train/Mask/seismic_x_69.png
70,,Train/Mask/seismic_x_70.png
71,,Train/Mask/seismic_x_71.png
72,,Train/Mask/seismic_x_72.png
73,,Train/Mask/seismic_x_73.png
74,,Train/Mask/seismic_x_74.png
75,,Train/Mask/seismic_x_75.png
76,,Train/Mask/seismic_x_76.png
77,,Train/Mask/seismic_x_77.png
78,,Train/Mask/seismic_x_78.png
79,,Train/Mask/seismic_x_79.png
80,,Train/Mask/seismic_x_80.png
81,,Train/Mask/seismic_x_81.png
82,,Train/Mask/seismic_x_82.png
83,,Train/Mask/seismic_x_83.png
84,,Train/Mask/seismic_x_84.png
85,,Train/Mask/seismic_x_85.png
86,,Train/Mask/seismic_x_86.png
87,,Train/Mask/seismic_x_87.png
88,,Train/Mask/seismic_x_88.png
89,,Train/Mask/seismic_x_89.png
90,,Train/Mask/seismic_x_90.png
91,,Train/Mask/seismic_x_91.png
92,,Train/Mask/seismic_x_92.png
93,,Train/Mask/seismic_x_93.png
94,,Train/Mask/seismic_x_94.png
95,,Train/Mask/seismic_x_95.png
96,,Train/Mask/seismic_x_96.png
97,,Train/Mask/seismic_x_97.png
98,,Train/Mask/seismic_x_98.png
99,,Train/Mask/seismic_x_99.png
100,,Train/Mask/seismic_x_100.png
101,,Train/Mask/seismic_x_101.png
102,,Train/Mask/seismic_x_102.png
103,,Train/Mask/seismic_x_103.png
104,,Train/Mask/seismic_x_104.png
105,,Train/Mask/seismic_x_105.png
106,,Train/Mask/seismic_x_106.png
107,,Train/Mask/seismic_x_107.png
108,,Train/Mask/seismic_x_108.png
109,,Train/Mask/seismic_x_109.png
110,,Train/Mask/seismic_x_110.png
111,,Train/Mask/seismic_x_111.png
112,,Train/Mask/seismic_x_112.png
113,,Train/Mask/seismic_x_113.png
114,,Train/Mask/seismic_x_114.png
115,,Train/Mask/seismic_x_115.png
116,,Train/Mask/seismic_x_116.png
117,,Train/Mask/seismic_x_117.png
118,,Train/Mask/seismic_x_118.png
119,,Train/Mask/seismic_x_119.png
120,,Train/Mask/seismic_x_120.png
121,,Train/Mask/seismic_x_121.png
122,,Train/Mask/seismic_x_122.png
123,,Train/Mask/seismic_x_123.png
124,,Train/Mask/seismic_x_124.png
125,,Train/Mask/seismic_x_125.png
126,,Train/Mask/seismic_x_126.png
127,,Train/Mask/seismic_x_127.png
128,,Train/Mask/seismic_x_128.png
129,,Train/Mask/seismic_x_129.png
130,,Train/Mask/seismic_x_130.png
131,,Train/Mask/seismic_x_131.png
